"","v_9","error","nafta","tariff","taxreform","trumpecon","singlepay"
"1","ca45",1.50315714450542,NA,NA,NA,NA,52.7027027027027
"2","ca49",1.99141357476146,64.4970414201184,29.585798816568,36.4891518737673,39.8422090729783,NA
"3","ia01",2.12893894708671,59.9601593625498,33.0677290836653,43.4262948207171,41.8326693227092,NA
"4","ks03",4.08969552447195,60.3238866396761,34.412955465587,47.3684210526316,47.3684210526316,NA
"5","mi08",4.49114905519075,NA,NA,NA,NA,51.6966067864271
"6","ne02",6.44514425539727,NA,NA,NA,NA,48.4375
"7","nj03",3.39151387699917,NA,NA,NA,NA,57.7154308617234
"8","nj07",5.92436172031077,60.515873015873,32.5396825396825,41.6666666666667,46.031746031746,NA
"9","pa07",3.03078746693696,60.8534322820037,37.6623376623377,47.3098330241187,47.3098330241187,NA
"10","tx32",5.83367168293967,62,36.4,49,51.2,NA
"11","wa08",6.01894327029652,NA,NA,NA,NA,53.2673267326733
